product_name,original_currency,original_price_text,original_price_numeric,target_currency,converted_price_numeric,converted_price_text,exchange_rate_used
A Light in the Attic,GBP,£51.77,51.77,KES,9103.04,KES 9103.04,175.836227
Tipping the Velvet,GBP,£53.74,53.74,KES,9449.44,KES 9449.44,175.836227
Soumission,GBP,£50.10,50.1,KES,8809.39,KES 8809.39,175.836227
Sharp Objects,GBP,£47.82,47.82,KES,8408.49,KES 8408.49,175.836227
Sapiens: A Brief History of Humankind,GBP,£54.23,54.23,KES,9535.6,KES 9535.60,175.836227
The Requiem Red,GBP,£22.65,22.65,KES,3982.69,KES 3982.69,175.836227
The Dirty Little Secrets of Getting Your Dream Job,GBP,£33.34,33.34,KES,5862.38,KES 5862.38,175.836227
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",GBP,£17.93,17.93,KES,3152.74,KES 3152.74,175.836227
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,GBP,£22.60,22.6,KES,3973.9,KES 3973.90,175.836227
The Black Maria,GBP,£52.15,52.15,KES,9169.86,KES 9169.86,175.836227
"Starving Hearts (Triangular Trade Trilogy, #1)",GBP,£13.99,13.99,KES,2459.95,KES 2459.95,175.836227
Shakespeare's Sonnets,GBP,£20.66,20.66,KES,3632.78,KES 3632.78,175.836227
Set Me Free,GBP,£17.46,17.46,KES,3070.1,KES 3070.10,175.836227
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),GBP,£52.29,52.29,KES,9194.48,KES 9194.48,175.836227
Rip it Up and Start Again,GBP,£35.02,35.02,KES,6157.78,KES 6157.78,175.836227
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",GBP,£57.25,57.25,KES,10066.62,KES 10066.62,175.836227
Olio,GBP,£23.88,23.88,KES,4198.97,KES 4198.97,175.836227
Mesaerion: The Best Science Fiction Stories 1800-1849,GBP,£37.59,37.59,KES,6609.68,KES 6609.68,175.836227
Libertarianism for Beginners,GBP,£51.33,51.33,KES,9025.67,KES 9025.67,175.836227
It's Only the Himalayas,GBP,£45.17,45.17,KES,7942.52,KES 7942.52,175.836227
In Her Wake,GBP,£12.84,12.84,KES,2257.74,KES 2257.74,175.836227
How Music Works,GBP,£37.32,37.32,KES,6562.21,KES 6562.21,175.836227
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",GBP,£30.52,30.52,KES,5366.52,KES 5366.52,175.836227
Chase Me (Paris Nights #2),GBP,£25.27,25.27,KES,4443.38,KES 4443.38,175.836227
Black Dust,GBP,£34.53,34.53,KES,6071.62,KES 6071.62,175.836227
Birdsong: A Story in Pictures,GBP,£54.64,54.64,KES,9607.69,KES 9607.69,175.836227
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,GBP,£22.50,22.5,KES,3956.32,KES 3956.32,175.836227
Aladdin and His Wonderful Lamp,GBP,£53.13,53.13,KES,9342.18,KES 9342.18,175.836227
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,GBP,£40.30,40.3,KES,7086.2,KES 7086.20,175.836227
Wall and Piece,GBP,£44.18,44.18,KES,7768.44,KES 7768.44,175.836227
The Four Agreements: A Practical Guide to Personal Freedom,GBP,£17.66,17.66,KES,3105.27,KES 3105.27,175.836227
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,GBP,£31.05,31.05,KES,5459.71,KES 5459.71,175.836227
The Elephant Tree,GBP,£23.82,23.82,KES,4188.42,KES 4188.42,175.836227
The Bear and the Piano,GBP,£36.89,36.89,KES,6486.6,KES 6486.60,175.836227
